# WL(nm)	 Flux(ergs/cm**2/s/nm)
284.0	1.485e+07
284.5	1.162e+07
285.0	5.479e+06
285.5	6.367e+06
286.0	1.390e+07
286.5	1.656e+07
287.0	1.747e+07
287.5	1.749e+07
288.0	1.158e+07
288.5	1.659e+07
289.0	1.942e+07
289.5	2.271e+07
290.0	2.856e+07
290.5	2.987e+07
291.0	2.819e+07
291.5	2.784e+07
292.0	2.649e+07
292.5	2.296e+07
293.0	2.623e+07
293.5	2.663e+07
294.0	2.330e+07
294.5	2.513e+07
295.0	2.386e+07
295.5	2.692e+07
296.0	2.871e+07
296.5	2.278e+07
297.0	1.961e+07
297.5	2.763e+07
298.0	2.579e+07
298.5	1.752e+07
299.0	2.667e+07
299.5	2.411e+07
300.0	1.926e+07
300.5	2.030e+07
301.0	2.284e+07
301.5	2.448e+07
302.0	1.731e+07
302.5	2.514e+07
303.0	3.129e+07
303.5	3.184e+07
304.0	2.668e+07
304.5	2.997e+07
305.0	3.111e+07
305.5	2.832e+07
306.0	2.507e+07
306.5	2.708e+07
307.0	2.979e+07
307.5	3.012e+07
308.0	3.035e+07
308.5	3.145e+07
309.0	2.598e+07
309.5	2.373e+07
310.0	2.149e+07
310.5	3.303e+07
311.0	3.808e+07
311.5	3.534e+07
312.0	2.967e+07
312.5	3.221e+07
313.0	3.288e+07
313.5	3.353e+07
314.0	3.667e+07
314.5	2.741e+07
315.0	3.485e+07
315.5	3.144e+07
316.0	2.395e+07
316.5	3.065e+07
317.0	3.803e+07
317.5	4.068e+07
318.0	2.932e+07
318.5	3.153e+07
319.0	3.482e+07
319.5	3.158e+07
320.0	3.867e+07
320.5	4.197e+07
321.0	3.307e+07
321.5	3.121e+07
322.0	3.767e+07
322.5	3.243e+07
323.0	2.959e+07
323.5	3.158e+07
324.0	3.612e+07
324.5	3.821e+07
325.0	3.625e+07
325.5	4.352e+07
326.0	4.864e+07
326.5	4.609e+07
327.0	4.665e+07
327.5	4.605e+07
328.0	4.406e+07
328.5	4.223e+07
329.0	4.735e+07
329.5	5.267e+07
330.0	5.373e+07
330.5	4.497e+07
331.0	4.647e+07
331.5	4.538e+07
332.0	4.652e+07
332.5	4.495e+07
333.0	4.527e+07
333.5	4.237e+07
334.0	4.354e+07
334.5	4.809e+07
335.0	4.410e+07
335.5	4.957e+07
336.0	3.420e+07
336.5	4.184e+07
337.0	3.480e+07
337.5	4.343e+07
338.0	4.099e+07
338.5	4.579e+07
339.0	4.535e+07
339.5	4.337e+07
340.0	5.239e+07
340.5	4.698e+07
341.0	4.457e+07
341.5	4.106e+07
342.0	4.901e+07
342.5	4.579e+07
343.0	5.012e+07
343.5	4.702e+07
344.0	3.544e+07
344.5	3.475e+07
345.0	4.615e+07
345.5	4.707e+07
346.0	3.995e+07
346.5	4.516e+07
347.0	4.827e+07
347.5	3.891e+07
348.0	4.438e+07
348.5	4.435e+07
349.0	4.104e+07
349.5	4.051e+07
350.0	4.998e+07
350.5	5.262e+07
351.0	4.689e+07
351.5	4.535e+07
352.0	4.869e+07
352.5	3.796e+07
353.0	4.772e+07
353.5	5.096e+07
354.0	5.285e+07
354.5	5.354e+07
355.0	5.327e+07
355.5	4.800e+07
356.0	5.012e+07
356.5	4.275e+07
357.0	3.530e+07
357.5	4.318e+07
358.0	3.418e+07
358.5	2.917e+07
359.0	4.076e+07
359.5	5.188e+07
360.0	5.493e+07
360.5	4.385e+07
361.0	3.989e+07
361.5	4.576e+07
362.0	3.942e+07
362.5	5.438e+07
