# (dyne/cm2)
Pressure	H2	N2	CH4	H2O
6.571E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
5.443E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
4.509E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.735E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
3.094E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.563E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
2.124E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.759E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.457E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.207E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
1.000E-02	9.000E-01	1.000E-01	2.000E-06	0.000E+00
