# (dyne/cm2)
Pressure	CO2	N2	CH4	H2O
5.684E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
4.686E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
3.863E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
3.185E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.626E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
2.165E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.785E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.471E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.213E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
1.000E-02	9.000E-01	9.999E-02	1.000E-05	0.000E+00
