wavelength,photoabsorption,photodissociation,photoionisation
76.27,9.51E-18,0.00E+00,9.51E-18
76.28,9.51E-18,0.00E+00,9.51E-18
76.29,9.51E-18,0.00E+00,9.51E-18
76.3,9.51E-18,0.00E+00,9.51E-18
76.31,9.51E-18,0.00E+00,9.51E-18
76.32,9.51E-18,0.00E+00,9.51E-18
76.33,9.51E-18,0.00E+00,9.51E-18
76.34,9.51E-18,0.00E+00,9.51E-18
76.35,9.51E-18,0.00E+00,9.51E-18
76.36,9.51E-18,0.00E+00,9.51E-18
76.37,9.51E-18,0.00E+00,9.51E-18
76.38,9.51E-18,0.00E+00,9.51E-18
76.39,9.51E-18,0.00E+00,9.51E-18
76.4,9.51E-18,0.00E+00,9.51E-18
76.41,9.51E-18,0.00E+00,9.51E-18
76.42,9.51E-18,0.00E+00,9.51E-18
76.43,9.51E-18,0.00E+00,9.51E-18
76.44,9.51E-18,0.00E+00,9.51E-18
76.45,9.51E-18,0.00E+00,9.51E-18
76.46,9.51E-18,0.00E+00,9.51E-18
76.47,9.51E-18,0.00E+00,9.51E-18
76.48,9.51E-18,0.00E+00,9.51E-18
76.49,9.51E-18,0.00E+00,9.51E-18
76.5,9.51E-18,0.00E+00,9.51E-18
76.51,9.51E-18,0.00E+00,9.51E-18
76.52,9.51E-18,0.00E+00,9.51E-18
76.53,9.51E-18,0.00E+00,9.51E-18
76.54,9.51E-18,0.00E+00,9.51E-18
76.55,9.51E-18,0.00E+00,9.51E-18
76.56,9.51E-18,0.00E+00,9.51E-18
76.57,9.51E-18,0.00E+00,9.51E-18
76.58,9.51E-18,0.00E+00,9.51E-18
76.59,9.51E-18,0.00E+00,9.51E-18
76.6,9.51E-18,0.00E+00,9.51E-18
76.61,9.51E-18,0.00E+00,9.51E-18
76.62,9.51E-18,0.00E+00,9.51E-18
76.63,9.51E-18,0.00E+00,9.51E-18
76.64,9.51E-18,0.00E+00,9.51E-18
76.65,9.51E-18,0.00E+00,9.51E-18
76.66,9.51E-18,0.00E+00,9.51E-18
76.67,9.51E-18,0.00E+00,9.51E-18
76.68,9.51E-18,0.00E+00,9.51E-18
76.69,9.51E-18,0.00E+00,9.51E-18
76.7,9.51E-18,0.00E+00,9.51E-18
76.71,9.51E-18,0.00E+00,9.51E-18
76.72,9.51E-18,0.00E+00,9.51E-18
76.73,9.51E-18,0.00E+00,9.51E-18
76.74,9.51E-18,0.00E+00,9.51E-18
76.75,9.51E-18,0.00E+00,9.51E-18
76.76,9.51E-18,0.00E+00,9.51E-18
76.77,9.51E-18,0.00E+00,9.51E-18
76.78,9.51E-18,0.00E+00,9.51E-18
76.79,9.51E-18,0.00E+00,9.51E-18
76.8,9.51E-18,0.00E+00,9.51E-18
76.81,9.51E-18,0.00E+00,9.51E-18
76.82,9.51E-18,0.00E+00,9.51E-18
76.83,9.51E-18,0.00E+00,9.51E-18
76.84,9.51E-18,0.00E+00,9.51E-18
76.85,9.51E-18,0.00E+00,9.51E-18
76.86,9.51E-18,0.00E+00,9.51E-18
76.87,9.51E-18,0.00E+00,9.51E-18
76.88,9.51E-18,0.00E+00,9.51E-18
76.89,9.51E-18,0.00E+00,9.51E-18
76.9,9.51E-18,0.00E+00,9.51E-18
76.91,9.51E-18,0.00E+00,9.51E-18
76.92,9.51E-18,0.00E+00,9.51E-18
76.93,9.51E-18,0.00E+00,9.51E-18
76.94,9.51E-18,0.00E+00,9.51E-18
76.95,9.51E-18,0.00E+00,9.51E-18
76.96,9.51E-18,0.00E+00,9.51E-18
76.97,9.51E-18,0.00E+00,9.51E-18
76.98,9.51E-18,0.00E+00,9.51E-18
76.99,9.51E-18,0.00E+00,9.51E-18
77,9.51E-18,0.00E+00,9.51E-18
77.01,9.51E-18,0.00E+00,9.51E-18
77.02,9.51E-18,0.00E+00,9.51E-18
77.03,9.51E-18,0.00E+00,9.51E-18
77.04,9.51E-18,0.00E+00,9.51E-18
77.05,9.51E-18,0.00E+00,9.51E-18
77.06,9.51E-18,0.00E+00,9.51E-18
77.07,9.51E-18,0.00E+00,9.51E-18
77.08,9.51E-18,0.00E+00,9.51E-18
77.09,9.51E-18,0.00E+00,9.51E-18
77.1,9.51E-18,0.00E+00,9.51E-18
77.11,9.51E-18,0.00E+00,9.51E-18
77.12,9.51E-18,0.00E+00,9.51E-18
77.13,9.51E-18,0.00E+00,9.51E-18
77.14,9.51E-18,0.00E+00,9.51E-18
77.15,9.51E-18,0.00E+00,9.51E-18
77.16,9.51E-18,0.00E+00,9.51E-18
77.17,9.51E-18,0.00E+00,9.51E-18
77.18,9.51E-18,0.00E+00,9.51E-18
77.19,9.51E-18,0.00E+00,9.51E-18
77.2,9.51E-18,0.00E+00,9.51E-18
77.21,9.51E-18,0.00E+00,9.51E-18
77.22,9.51E-18,0.00E+00,9.51E-18
77.23,9.51E-18,0.00E+00,9.51E-18
77.24,9.51E-18,0.00E+00,9.51E-18
77.25,9.51E-18,0.00E+00,9.51E-18
77.26,9.51E-18,0.00E+00,9.51E-18
77.27,9.51E-18,0.00E+00,9.51E-18
77.28,9.51E-18,0.00E+00,9.51E-18
77.29,9.51E-18,0.00E+00,9.51E-18
77.3,9.51E-18,0.00E+00,9.51E-18
77.31,9.51E-18,0.00E+00,9.51E-18
77.32,9.51E-18,0.00E+00,9.51E-18
77.33,9.51E-18,0.00E+00,9.51E-18
77.34,9.51E-18,0.00E+00,9.51E-18
77.35,9.51E-18,0.00E+00,9.51E-18
77.36,9.51E-18,0.00E+00,9.51E-18
77.37,9.51E-18,0.00E+00,9.51E-18
77.38,9.51E-18,0.00E+00,9.51E-18
77.39,9.51E-18,0.00E+00,9.51E-18
77.4,9.51E-18,0.00E+00,9.51E-18
77.41,9.51E-18,0.00E+00,9.51E-18
77.42,9.51E-18,0.00E+00,9.51E-18
77.43,9.51E-18,0.00E+00,9.51E-18
77.44,9.51E-18,0.00E+00,9.51E-18
77.45,9.51E-18,0.00E+00,9.51E-18
77.46,9.51E-18,0.00E+00,9.51E-18
77.47,9.51E-18,0.00E+00,9.51E-18
77.48,9.51E-18,0.00E+00,9.51E-18
77.49,9.51E-18,0.00E+00,9.51E-18
77.5,9.51E-18,0.00E+00,9.51E-18
77.51,9.51E-18,0.00E+00,9.51E-18
77.52,9.51E-18,0.00E+00,9.51E-18
77.53,9.51E-18,0.00E+00,9.51E-18
77.54,9.51E-18,0.00E+00,9.51E-18
77.55,9.51E-18,0.00E+00,9.51E-18
77.56,9.51E-18,0.00E+00,9.51E-18
77.57,9.51E-18,0.00E+00,9.51E-18
77.58,9.51E-18,0.00E+00,9.51E-18
77.59,9.51E-18,0.00E+00,9.51E-18
77.6,9.51E-18,0.00E+00,9.51E-18
77.61,9.51E-18,0.00E+00,9.51E-18
77.62,9.51E-18,0.00E+00,9.51E-18
77.63,9.51E-18,0.00E+00,9.51E-18
77.64,9.51E-18,0.00E+00,9.51E-18
77.65,9.51E-18,0.00E+00,9.51E-18
77.66,9.51E-18,0.00E+00,9.51E-18
77.67,9.51E-18,0.00E+00,9.51E-18
77.68,9.51E-18,0.00E+00,9.51E-18
77.69,9.51E-18,0.00E+00,9.51E-18
77.7,9.51E-18,0.00E+00,9.51E-18
77.71,9.51E-18,0.00E+00,9.51E-18
77.72,9.51E-18,0.00E+00,9.51E-18
77.73,9.51E-18,0.00E+00,9.51E-18
77.74,9.51E-18,0.00E+00,9.51E-18
77.75,9.51E-18,0.00E+00,9.51E-18
77.76,9.51E-18,0.00E+00,9.51E-18
77.77,9.51E-18,0.00E+00,9.51E-18
77.78,9.51E-18,0.00E+00,9.51E-18
77.79,9.51E-18,0.00E+00,9.51E-18
77.8,9.51E-18,0.00E+00,9.51E-18
77.81,9.51E-18,0.00E+00,9.51E-18
77.82,9.51E-18,0.00E+00,9.51E-18
77.83,9.51E-18,0.00E+00,9.51E-18
77.84,9.51E-18,0.00E+00,9.51E-18
77.85,9.51E-18,0.00E+00,9.51E-18
77.86,9.51E-18,0.00E+00,9.51E-18
77.87,9.51E-18,0.00E+00,9.51E-18
77.88,9.51E-18,0.00E+00,9.51E-18
77.89,9.51E-18,0.00E+00,9.51E-18
77.9,9.51E-18,0.00E+00,9.51E-18
77.91,9.51E-18,0.00E+00,9.51E-18
77.92,9.51E-18,0.00E+00,9.51E-18
77.93,9.51E-18,0.00E+00,9.51E-18
77.94,9.51E-18,0.00E+00,9.51E-18
77.95,9.51E-18,0.00E+00,9.51E-18
77.96,9.51E-18,0.00E+00,9.51E-18
77.97,9.51E-18,0.00E+00,9.51E-18
77.98,9.51E-18,0.00E+00,9.51E-18
77.99,9.51E-18,0.00E+00,9.51E-18
78,9.51E-18,0.00E+00,9.51E-18
78.01,9.51E-18,0.00E+00,9.51E-18
78.02,9.51E-18,0.00E+00,9.51E-18
78.03,9.51E-18,0.00E+00,9.51E-18
78.04,9.51E-18,0.00E+00,9.51E-18
78.05,9.51E-18,0.00E+00,9.51E-18
78.06,9.51E-18,0.00E+00,9.51E-18
78.07,9.51E-18,0.00E+00,9.51E-18
78.08,9.51E-18,0.00E+00,9.51E-18
78.09,9.51E-18,0.00E+00,9.51E-18
78.1,9.51E-18,0.00E+00,9.51E-18
78.11,9.51E-18,0.00E+00,9.51E-18
78.12,9.51E-18,0.00E+00,9.51E-18
78.13,9.51E-18,0.00E+00,9.51E-18
78.14,9.51E-18,0.00E+00,9.51E-18
78.15,9.51E-18,0.00E+00,9.51E-18
78.16,9.51E-18,0.00E+00,9.51E-18
78.17,9.51E-18,0.00E+00,9.51E-18
78.18,9.51E-18,0.00E+00,9.51E-18
78.19,9.51E-18,0.00E+00,9.51E-18
78.2,9.51E-18,0.00E+00,9.51E-18
78.21,9.51E-18,0.00E+00,9.51E-18
78.22,9.51E-18,0.00E+00,9.51E-18
78.23,9.51E-18,0.00E+00,9.51E-18
78.24,9.51E-18,0.00E+00,9.51E-18
78.25,9.51E-18,0.00E+00,9.51E-18
78.26,9.51E-18,0.00E+00,9.51E-18
78.27,9.51E-18,0.00E+00,9.51E-18
78.28,9.51E-18,0.00E+00,9.51E-18
78.29,9.51E-18,0.00E+00,9.51E-18
78.3,9.51E-18,0.00E+00,9.51E-18
78.31,9.51E-18,0.00E+00,9.51E-18
78.32,9.51E-18,0.00E+00,9.51E-18
78.33,9.51E-18,0.00E+00,9.51E-18
78.34,9.51E-18,0.00E+00,9.51E-18
78.35,9.51E-18,0.00E+00,9.51E-18
78.36,9.51E-18,0.00E+00,9.51E-18
78.37,9.51E-18,0.00E+00,9.51E-18
78.38,9.51E-18,0.00E+00,9.51E-18
78.39,9.51E-18,0.00E+00,9.51E-18
78.4,9.51E-18,0.00E+00,9.51E-18
78.41,9.51E-18,0.00E+00,9.51E-18
78.42,9.51E-18,0.00E+00,9.51E-18
78.43,9.51E-18,0.00E+00,9.51E-18
78.44,9.51E-18,0.00E+00,9.51E-18
78.45,9.51E-18,0.00E+00,9.51E-18
78.46,9.51E-18,0.00E+00,9.51E-18
78.47,9.51E-18,0.00E+00,9.51E-18
78.48,9.51E-18,0.00E+00,9.51E-18
78.49,9.51E-18,0.00E+00,9.51E-18
78.5,9.51E-18,0.00E+00,9.51E-18
78.51,9.51E-18,0.00E+00,9.51E-18
78.52,9.51E-18,0.00E+00,9.51E-18
78.53,9.51E-18,0.00E+00,9.51E-18
78.54,9.51E-18,0.00E+00,9.51E-18
78.55,9.51E-18,0.00E+00,9.51E-18
78.56,9.51E-18,0.00E+00,9.51E-18
78.57,9.51E-18,0.00E+00,9.51E-18
78.58,9.51E-18,0.00E+00,9.51E-18
78.59,9.51E-18,0.00E+00,9.51E-18
78.6,9.51E-18,0.00E+00,9.51E-18
78.61,9.51E-18,0.00E+00,9.51E-18
78.62,9.51E-18,0.00E+00,9.51E-18
78.63,9.51E-18,0.00E+00,9.51E-18
78.64,9.51E-18,0.00E+00,9.51E-18
78.65,9.51E-18,0.00E+00,9.51E-18
78.66,9.51E-18,0.00E+00,9.51E-18
78.67,9.51E-18,0.00E+00,9.51E-18
